"	datetime	price",,,,
"110	2021-09-04T16:00:00.000Z	39.5636",,,,
"111	2021-09-05T00:00:00.000Z	37.246",,,,
"112	2021-09-05T08:00:00.000Z	34.4101",,,,
"113	2021-09-05T16:00:00.000Z	33.074",,,,
"114	2021-09-06T00:00:00.000Z	32.5168",,,,
"115	2021-09-06T08:00:00.000Z	39.2325",,,,
"116	2021-09-06T16:00:00.000Z	40.8336",,,,
"117	2021-09-07T00:00:00.000Z	41.0823",,,,
"118	2021-09-07T08:00:00.000Z	41.6783",,,,
"119	2021-09-07T16:00:00.000Z	41.055",,,,
"120	2021-09-08T00:00:00.000Z	39.6422",,,,
"121	2021-09-08T08:00:00.000Z	39.5462",,,,
"122	2021-09-08T16:00:00.000Z	39.5237",,,,
"123	2021-09-09T00:00:00.000Z	39.2836",,,,
"124	2021-09-09T08:00:00.000Z	39.1062",,,,
"125	2021-09-09T16:00:00.000Z	40.4075",,,,
"126	2021-09-10T00:00:00.000Z	40.18",,,,
"127	2021-09-10T08:00:00.000Z	38.7114",,,,
"128	2021-09-10T16:00:00.000Z	35.9375",,,,
"129	2021-09-11T00:00:00.000Z	33.769",,,,
"130	2021-09-11T08:00:00.000Z	34.1975",,,,
"131	2021-09-11T16:00:00.000Z	33.6444",,,,
"132	2021-09-12T00:00:00.000Z	33.2625",,,,
"133	2021-09-12T08:00:00.000Z	33.7111",,,,
"134	2021-09-12T16:00:00.000Z	32.0",,,,
"135	2021-09-13T00:00:00.000Z	32.6667",,,,
"136	2021-09-13T08:00:00.000Z	33.5333",,,,
"137	2021-09-13T16:00:00.000Z	33.7778",,,,
"138	2021-09-14T00:00:00.000Z	33.42",,,,
"139	2021-09-14T08:00:00.000Z	33.675",,,,
"140	2021-09-14T16:00:00.000Z	34.0511",,,,
"141	2021-09-15T00:00:00.000Z	34.9744",,,,
"142	2021-09-15T08:00:00.000Z	34.9725",,,,
"143	2021-09-15T16:00:00.000Z	36.3322",,,,
"144	2021-09-16T00:00:00.000Z	37.6975",,,,
"145	2021-09-16T08:00:00.000Z	38.96",,,,
"146	2021-09-16T16:00:00.000Z	39.042",,,,
"147	2021-09-17T00:00:00.000Z	41.0523",,,,
"148	2021-09-17T08:00:00.000Z	40.9063",,,,
"149	2021-09-17T16:00:00.000Z	40.4",,,,
"150	2021-09-18T00:00:00.000Z	40.1222",,,,
"151	2021-09-18T08:00:00.000Z	39.995",,,,
"152	2021-09-18T16:00:00.000Z	39.99",,,,
"153	2021-09-19T00:00:00.000Z	39.99",,,,
"154	2021-09-19T08:00:00.000Z	39.99",,,,
"155	2021-09-19T16:00:00.000Z	38.85",,,,
"156	2021-09-20T00:00:00.000Z	38.21",,,,
"157	2021-09-20T08:00:00.000Z	38.5778",,,,
"158	2021-09-20T16:00:00.000Z	39.8687",,,,
"159	2021-09-21T00:00:00.000Z	38.7474",,,,
"160	2021-09-21T08:00:00.000Z	37.0789",,,,
"161	2021-09-21T16:00:00.000Z	37.4135",,,,
"162	2021-09-22T00:00:00.000Z	38.8124",,,,
"163	2021-09-22T08:00:00.000Z	38.3238",,,,
"164	2021-09-22T16:00:00.000Z	37.1111",,,,
"165	2021-09-23T00:00:00.000Z	38.0",,,,
"166	2021-09-23T08:00:00.000Z	38.0",,,,
"167	2021-09-23T16:00:00.000Z	37.25",,,,
"168	2021-09-24T00:00:00.000Z	37.25",,,,
"169	2021-09-24T08:00:00.000Z	38.3713",,,,
"170	2021-09-24T16:00:00.000Z	38.794",,,,
"171	2021-09-25T00:00:00.000Z	39.0",,,,
"172	2021-09-25T08:00:00.000Z	38.85",,,,
"173	2021-09-25T16:00:00.000Z	39.0",,,,
"174	2021-09-26T00:00:00.000Z	39.0",,,,
